epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,16.1193,1.13117,2.75474,0.34176,0.73009,1.1747,0.45935,0.54716,0.53202,0.23698,0.24164,0.28571,0.19831,0.0963,1.96027,6.28279,0.4891,2.09701,1.87044,0.000386152,0.000386152,0.000386152
28,16.4789,1.32531,2.30064,0.35096,0.8644,1.27725,0.45935,0.54716,0.53202,0.23698,0.24164,0.28571,0.19831,0.0963,1.96027,6.28279,0.4891,2.09701,1.87044,0.000395658,0.000395658,0.000395658
29,16.8675,1.0772,3.55732,0.37669,1.0447,1.11664,0.49058,0.61998,0.53842,0.23421,0.43158,0.35714,0.28143,0.09913,2.024,6.50116,0.52131,2.14306,1.82852,0.000404768,0.000404768,0.000404768
30,17.2237,1.45207,3.09772,0.33562,1.23761,1.41052,0.49058,0.61998,0.53842,0.23421,0.43158,0.35714,0.28143,0.09913,2.024,6.50116,0.52131,2.14306,1.82852,0.000413482,0.000413482,0.000413482
31,17.6515,1.07395,2.06517,0.30467,0.99574,1.15059,0.58937,0.5,0.57379,0.22894,0.48897,0.35714,0.29055,0.08535,2.17973,6.77695,0.5608,2.02266,1.88905,0.0004218,0.0004218,0.0004218
32,18.059,0.9234,2.06689,0.38336,1.07732,1.37393,0.58937,0.5,0.57379,0.22894,0.48897,0.35714,0.29055,0.08535,2.17973,6.77695,0.5608,2.02266,1.88905,0.000429722,0.000429722,0.000429722
33,18.492,1.09934,3.10992,0.2949,0.77827,1.14061,0.51099,0.57143,0.60795,0.24188,0.41286,0.21429,0.22499,0.08896,2.32658,7.26588,0.60337,2.18448,1.97904,0.000437248,0.000437248,0.000437248
34,18.8741,0.86511,3.13368,0.2814,0.82673,1.00587,0.51099,0.57143,0.60795,0.24188,0.41286,0.21429,0.22499,0.08896,2.32658,7.26588,0.60337,2.18448,1.97904,0.000444378,0.000444378,0.000444378
35,19.3204,1.22531,2.44843,0.2937,0.87111,1.06678,0.30266,0.57143,0.39354,0.18282,0.89358,0.14286,0.2016,0.07134,2.46833,7.69618,0.65995,2.32585,2.0773,0.000451112,0.000451112,0.000451112
36,19.7298,1.07712,2.55055,0.33609,0.78776,1.0739,0.30266,0.57143,0.39354,0.18282,0.89358,0.14286,0.2016,0.07134,2.46833,7.69618,0.65995,2.32585,2.0773,0.00045745,0.00045745,0.00045745
37,20.1784,0.83794,2.01644,0.25925,0.76255,1.08709,0.30716,0.5,0.36016,0.17477,0.90309,0.14286,0.1971,0.07331,2.55765,7.68829,0.7023,2.45644,2.20477,0.000463392,0.000463392,0.000463392
38,20.5663,0.9196,3.3238,0.28216,0.94527,1.08553,0.30716,0.5,0.36016,0.17477,0.90309,0.14286,0.1971,0.07331,2.55765,7.68829,0.7023,2.45644,2.20477,0.000468938,0.000468938,0.000468938
39,20.9902,1.1013,2.44673,0.25954,0.75639,1.14323,0.25704,0.35714,0.32255,0.15555,0.88972,0.14286,0.21207,0.0768,2.66804,7.9637,0.74799,2.62377,2.33317,0.000474088,0.000474088,0.000474088
40,21.5386,1.07919,2.77498,0.34368,0.86111,1.13706,0.25704,0.35714,0.32255,0.15555,0.88972,0.14286,0.21207,0.0768,2.66804,7.9637,0.74799,2.62377,2.33317,0.000478842,0.000478842,0.000478842
41,22.0913,0.78644,2.60109,0.2912,0.79672,1.00936,0.34516,0.30218,0.2938,0.11717,0.47027,0.14286,0.1607,0.0548,2.81254,8.19323,0.79067,2.55603,2.49861,0.0004832,0.0004832,0.0004832
42,22.5094,1.22434,2.32746,0.36165,0.92598,1.24461,0.34516,0.30218,0.2938,0.11717,0.47027,0.14286,0.1607,0.0548,2.81254,8.19323,0.79067,2.55603,2.49861,0.000487162,0.000487162,0.000487162
43,22.8978,1.17428,2.41331,0.28046,0.87592,1.1775,0.36439,0.35714,0.29845,0.10452,0.22444,0.07143,0.04156,0.01856,2.91098,8.49403,0.79006,2.51545,2.59313,0.000490728,0.000490728,0.000490728
44,23.2542,0.87439,3.91957,0.27607,0.79009,1.16207,0.36439,0.35714,0.29845,0.10452,0.22444,0.07143,0.04156,0.01856,2.91098,8.49403,0.79006,2.51545,2.59313,0.000493898,0.000493898,0.000493898
45,23.6607,0.77643,2.18821,0.27182,0.62226,1.00097,0.28196,0.35714,0.30672,0.12552,0.22157,0.07143,0.05164,0.01713,2.76338,8.45489,0.75532,2.79374,2.4393,0.000496672,0.000496672,0.000496672
46,24.0371,1.13068,3.70464,0.3366,1.1218,1.16072,0.28196,0.35714,0.30672,0.12552,0.22157,0.07143,0.05164,0.01713,2.76338,8.45489,0.75532,2.79374,2.4393,0.00049905,0.00049905,0.00049905
47,24.4531,0.93803,1.93736,0.37072,0.63798,0.97762,0.49238,0.42857,0.43831,0.15255,0.31911,0.07143,0.06111,0.01538,2.76046,8.78373,0.74165,2.52317,2.50258,0.000501032,0.000501032,0.000501032
48,24.8283,0.77718,2.17666,0.33985,0.7026,1.01267,0.49238,0.42857,0.43831,0.15255,0.31911,0.07143,0.06111,0.01538,2.76046,8.78373,0.74165,2.52317,2.50258,0.000502618,0.000502618,0.000502618
49,25.2056,0.93982,2.70947,0.31003,0.70058,1.10237,0.524,0.42857,0.4549,0.16016,0.46197,0.07143,0.05931,0.01282,2.72123,8.77752,0.72364,2.29466,2.46437,0.000503808,0.000503808,0.000503808
50,25.571,0.59596,2.27721,0.31481,0.58698,1.01936,0.524,0.42857,0.4549,0.16016,0.46197,0.07143,0.05931,0.01282,2.72123,8.77752,0.72364,2.29466,2.46437,0.000504602,0.000504602,0.000504602
51,25.9268,0.8885,2.10475,0.32868,0.57456,0.98933,0.56735,0.46986,0.5041,0.2034,0.09626,0.14286,0.03843,0.01498,2.51559,8.54071,0.71423,2.38068,2.30552,0.000505,0.000505,0.000505
52,26.4027,0.86573,2.62487,0.261,0.70159,1.28909,0.56735,0.46986,0.5041,0.2034,0.09626,0.14286,0.03843,0.01498,2.51559,8.54071,0.71423,2.38068,2.30552,0.000505002,0.000505002,0.000505002
53,26.8204,0.97066,2.885,0.37879,0.74999,0.95959,0.56735,0.46986,0.5041,0.2034,0.09626,0.14286,0.03843,0.01498,2.51559,8.54071,0.71423,2.38068,2.30552,0.000504608,0.000504608,0.000504608
54,27.2185,0.80727,1.96045,0.45759,0.6543,1.04037,0.46892,0.42857,0.47459,0.20972,0.15653,0.14286,0.0755,0.03052,2.31005,8.35293,0.72046,2.4438,2.12706,0.000503818,0.000503818,0.000503818
55,27.6513,0.85497,3.69883,0.25943,0.63985,1.0897,0.46892,0.42857,0.47459,0.20972,0.15653,0.14286,0.0755,0.03052,2.31005,8.35293,0.72046,2.4438,2.12706,0.000502632,0.000502632,0.000502632
56,28.0203,0.9206,2.45606,0.30735,0.88664,1.07527,0.46892,0.42857,0.47459,0.20972,0.15653,0.14286,0.0755,0.03052,2.31005,8.35293,0.72046,2.4438,2.12706,0.00050105,0.00050105,0.00050105
57,28.4587,1.01789,3.90915,0.29155,0.76878,1.13044,0.75653,0.28571,0.47109,0.19251,0.11508,0.14286,0.07672,0.02361,2.29118,8.39182,0.75785,2.60182,2.14926,0.000499072,0.000499072,0.000499072
58,28.838,0.95855,2.79325,0.3302,0.76523,1.02118,0.75653,0.28571,0.47109,0.19251,0.11508,0.14286,0.07672,0.02361,2.29118,8.39182,0.75785,2.60182,2.14926,0.000496698,0.000496698,0.000496698
59,29.1974,0.95117,2.87338,0.35293,0.75691,1.04907,0.75653,0.28571,0.47109,0.19251,0.11508,0.14286,0.07672,0.02361,2.29118,8.39182,0.75785,2.60182,2.14926,0.000493928,0.000493928,0.000493928
60,29.6255,1.02053,2.08968,0.31196,1.15241,1.22204,0.48886,0.34283,0.44096,0.17373,0.31258,0.07143,0.04244,0.01103,2.34351,8.6579,0.78339,2.67983,2.3523,0.000490762,0.000490762,0.000490762
61,30.0011,0.79096,1.85901,0.34427,0.62197,0.95287,0.48886,0.34283,0.44096,0.17373,0.31258,0.07143,0.04244,0.01103,2.34351,8.6579,0.78339,2.67983,2.3523,0.0004872,0.0004872,0.0004872
62,30.3909,0.74614,2.17549,0.25425,0.64063,0.92598,0.48886,0.34283,0.44096,0.17373,0.31258,0.07143,0.04244,0.01103,2.34351,8.6579,0.78339,2.67983,2.3523,0.000483242,0.000483242,0.000483242
63,30.8503,0.6906,2.73937,0.31403,0.61548,1.11835,0.95943,0.21429,0.36111,0.12172,0.32924,0.07143,0.06916,0.01029,2.47625,8.6523,0.77121,2.94988,2.5344,0.000478888,0.000478888,0.000478888
64,31.2725,0.68953,2.46627,0.40818,0.69669,1.0365,0.95943,0.21429,0.36111,0.12172,0.32924,0.07143,0.06916,0.01029,2.47625,8.6523,0.77121,2.94988,2.5344,0.000474138,0.000474138,0.000474138
65,31.7254,0.59626,2.0323,0.24683,0.56221,1.00401,0.95943,0.21429,0.36111,0.12172,0.32924,0.07143,0.06916,0.01029,2.47625,8.6523,0.77121,2.94988,2.5344,0.000468992,0.000468992,0.000468992
66,32.1358,0.93824,2.4733,0.3536,0.66035,1.25717,0.4376,0.27867,0.34523,0.11868,0.02041,0.07143,0.01123,0.00225,2.44916,8.63865,0.74993,3.30934,2.4339,0.00046345,0.00046345,0.00046345
67,32.501,0.95635,3.34428,0.28639,0.68685,1.21356,0.4376,0.27867,0.34523,0.11868,0.02041,0.07143,0.01123,0.00225,2.44916,8.63865,0.74993,3.30934,2.4339,0.000457512,0.000457512,0.000457512
68,32.9508,0.90892,2.30338,0.34831,0.63566,1.14668,0.4376,0.27867,0.34523,0.11868,0.02041,0.07143,0.01123,0.00225,2.44916,8.63865,0.74993,3.30934,2.4339,0.000451178,0.000451178,0.000451178
69,33.3489,1.12301,2.68498,0.31903,0.679,1.22705,0.47961,0.28571,0.32763,0.10322,0.09676,0.07143,0.01793,0.00557,2.5122,8.55532,0.72842,3.38193,2.4607,0.000444448,0.000444448,0.000444448
70,33.7317,0.92554,2.42303,0.26947,0.62355,1.00264,0.47961,0.28571,0.32763,0.10322,0.09676,0.07143,0.01793,0.00557,2.5122,8.55532,0.72842,3.38193,2.4607,0.000437322,0.000437322,0.000437322
71,34.0692,0.79382,2.2705,0.30324,0.62066,0.99149,0.47961,0.28571,0.32763,0.10322,0.09676,0.07143,0.01793,0.00557,2.5122,8.55532,0.72842,3.38193,2.4607,0.0004298,0.0004298,0.0004298
72,34.4471,1.02696,2.88069,0.29231,0.79822,1.09925,0.46587,0.28571,0.32087,0.10151,0.02083,0.07143,0.0146,0.00549,2.52493,8.56686,0.72462,3.57373,2.43354,0.000421882,0.000421882,0.000421882
73,34.83,0.76075,2.69234,0.29302,0.65883,1.03499,0.46587,0.28571,0.32087,0.10151,0.02083,0.07143,0.0146,0.00549,2.52493,8.56686,0.72462,3.57373,2.43354,0.000413568,0.000413568,0.000413568
74,35.2468,0.81325,2.08097,0.31771,0.63003,1.01501,0.46587,0.28571,0.32087,0.10151,0.02083,0.07143,0.0146,0.00549,2.52493,8.56686,0.72462,3.57373,2.43354,0.000404858,0.000404858,0.000404858
